title,authors,citations,local_pdf,paper_link,bib_source,bib_link,venue,authors_original
Fair clustering through fairlets,Flavio Chierichetti and Ravi Kumar and Silvio Lattanzi and Sergei Vassilvitskii,684,related-pdfs/Fair_clustering_through_fairlets.pdf,http://arxiv.org/abs/1802.05733v1,DBLP,https://dblp.org/rec/conf/nips/Chierichetti0LV17,CoRR,"F Chierichetti, R Kumar, S Lattanzi… - Advances in neural …, 2017 - proceedings.neurips.cc"
Fair algorithms for clustering,Suman Kalyan Bera and Deeparnab Chakrabarty and Nicolas Flores and Maryam Negahbani,378,related-pdfs/Fair_algorithms_for_clustering.pdf,http://arxiv.org/abs/1901.02393v2,DBLP,https://dblp.org/rec/conf/nips/BeraCFN19,AAMAS,"S Bera, D Chakrabarty, N Flores… - Advances in Neural …, 2019 - proceedings.neurips.cc"
Scalable fair clustering,Arturs Backurs and Piotr Indyk and Krzysztof Onak and Baruch Schieber and Ali Vakilian and Tal Wagner,301,related-pdfs/Scalable_fair_clustering.pdf,http://arxiv.org/abs/1902.03519v2,DBLP,https://dblp.org/rec/conf/icml/BackursIOSVW19,ICML,"A Backurs, P Indyk, K Onak… - International …, 2019 - proceedings.mlr.press"
Guarantees for spectral clustering with fairness constraints,Matthäus Kleindessner and Samira Samadi and Pranjal Awasthi and Jamie Morgenstern,247,related-pdfs/Guarantees_for_spectral_clustering_with_fairness_constraints.pdf,http://arxiv.org/abs/1901.08668v2,DBLP,https://dblp.org/rec/conf/icml/KleindessnerSAM19,ICML,"M Kleindessner, S Samadi, P Awasthi… - International …, 2019 - proceedings.mlr.press"
Fair k-center clustering for data summarization,Haris Angelidakis and Adam Kurpisz and Leon Sering and Rico Zenklusen,236,related-pdfs/Fair_k-center_clustering_for_data_summarization.pdf,http://arxiv.org/abs/1901.08628v2,DBLP,https://dblp.org/rec/conf/icml/AngelidakisKSZ22,ICML,"M Kleindessner, P Awasthi… - … on Machine Learning, 2019 - proceedings.mlr.press"
Proportionally fair clustering,Evi Micha and Nisarg Shah,234,related-pdfs/Proportionally_fair_clustering.pdf,http://arxiv.org/abs/1905.03674v3,DBLP,https://dblp.org/rec/conf/icalp/Micha020,ICML,"X Chen, B Fain, L Lyu… - … conference on machine …, 2019 - proceedings.mlr.press"
Algorithmic fairness datasets: the story so far,"Alessandro Fabris, Stefano Messina, Gianmaria Silvello, Gian Antonio Susto",169,,https://link.springer.com/article/10.1007/s10618-022-00854-z,UNKNOWN,https://dblp.org/rec/journals/datamine/FabrisMSS22,Data Min. Knowl. Discov.,"A Fabris, S Messina, G Silvello, GA Susto - Data Mining and Knowledge …, 2022 - Springer"
Socially fair k-means clustering,Mehrdad Ghadiri and Samira Samadi and Santosh S. Vempala,178,related-pdfs/Socially_fair_k-means_clustering.pdf,http://arxiv.org/abs/2006.10085v2,DBLP,https://dblp.org/rec/conf/fat/GhadiriSV21,FAccT,"M Ghadiri, S Samadi, S Vempala - … of the 2021 ACM Conference on …, 2021 - dl.acm.org"
On the cost of essentially fair clusterings,Ioana Oriana Bercea and Martin Großand Samir Khuller and Aounon Kumar and Clemens Rösner and Daniel R. Schmidt and Melanie Schmidt,149,related-pdfs/On_the_cost_of_essentially_fair_clusterings.pdf,http://arxiv.org/abs/1811.10319v1,DBLP,https://dblp.org/rec/conf/approx/Bercea0KKRS019,APPROX-RANDOM,"IO Bercea, M Groß, S Khuller, A Kumar… - arXiv preprint arXiv …, 2018 - arxiv.org"
Coresets for clustering with fairness constraints,Lingxiao Huang and Shaofeng H.-C. Jiang and Nisheeth K. Vishnoi,144,related-pdfs/Coresets_for_clustering_with_fairness_constraints.pdf,http://arxiv.org/abs/1906.08484v4,DBLP,https://dblp.org/rec/conf/nips/HuangJV19,NeurIPS,"L Huang, S Jiang, N Vishnoi - Advances in neural …, 2019 - proceedings.neurips.cc"
Fair Coresets and Streaming Algorithms for Fair k-means,Melanie Schmidt and Chris Schwiegelshohn and Christian Sohler,138,related-pdfs/Fair_Coresets_and_Streaming_Algorithms_for_Fair_k-means.pdf,http://arxiv.org/abs/1812.10854v4,DBLP,https://dblp.org/rec/conf/waoa/0001SS19,WAOA,"M Schmidt, C Schwiegelshohn, C Sohler - International Workshop on …, 2019 - Springer"
Fair clustering via equitable group representations,Mohsen Abbasi and Aditya Bhaskara and Suresh Venkatasubramanian,138,related-pdfs/Fair_clustering_via_equitable_group_representations.pdf,http://arxiv.org/abs/2006.11009v2,DBLP,https://dblp.org/rec/conf/fat/AbbasiBV21,FAccT,"M Abbasi, A Bhaskara… - Proceedings of the 2021 …, 2021 - dl.acm.org"
An overview of fairness in clustering,"Anshuman Chhabra, Karina Masalkovaite, Prasant Mohapatra",138,,https://ieeexplore.ieee.org/abstract/document/9541160/,UNKNOWN,https://dblp.org/rec/journals/access/ChhabraMM21,IEEE Access,"A Chhabra, K Masalkovaitė, P Mohapatra - IEEE Access, 2021 - ieeexplore.ieee.org"
Individual fairness for k-clustering,Sepideh Mahabadi and Ali Vakilian,114,related-pdfs/Individual_fairness_for_k-clustering.pdf,https://doi.org/10.1007/978-981-99-7184-8_2,DBLP,https://dblp.org/rec/conf/icml/MahabadiV20,ICML,"S Mahabadi, A Vakilian - International conference on …, 2020 - proceedings.mlr.press"
Deep fair clustering for visual learning,"Peizhao Li, Han Zhao, Hongfu Liu",105,,http://openaccess.thecvf.com/content_CVPR_2020/html/Li_Deep_Fair_Clustering_for_Visual_Learning_CVPR_2020_paper.html,UNKNOWN,https://dblp.org/rec/conf/cvpr/LiZL20,CVPR,"P Li, H Zhao, H Liu - … of the IEEE/CVF Conference on …, 2020 - openaccess.thecvf.com"
Fair hierarchical clustering,Sara Ahmadian and Alessandro Epasto and Marina Knittel and Ravi Kumar and Mohammad Mahdian and Benjamin Moseley and Philip Pham and Sergei Vassilvitskii and Yuyan Wang,77,related-pdfs/Fair_hierarchical_clustering.pdf,http://arxiv.org/abs/2006.10221v2,DBLP,https://dblp.org/rec/conf/nips/AhmadianEK0MMPV20,NeurIPS,"S Ahmadian, A Epasto, M Knittel… - Advances in …, 2020 - proceedings.neurips.cc"
Approximation algorithms for socially fair clustering,Yury Makarychev and Ali Vakilian,74,related-pdfs/Approximation_algorithms_for_socially_fair_clustering.pdf,http://arxiv.org/abs/2103.02512v2,DBLP,https://dblp.org/rec/conf/colt/MakarychevV21,COLT,"Y Makarychev, A Vakilian - Conference on Learning Theory, 2021 - proceedings.mlr.press"
Fair colorful k-center clustering,Xinrui Jia and Kshiteej Sheth and Ola Svensson,75,related-pdfs/Fair_Colorful_k-Center_Clustering.pdf,http://arxiv.org/abs/2007.04059v1,DBLP,https://dblp.org/rec/conf/ipco/JiaSS20,Math. Program.,"X Jia, K Sheth, O Svensson - Mathematical Programming, 2022 - Springer"
Fair coresets and streaming algorithms for fair k-means clustering,"Melanie Schmidt, Chris Schwiegelshohn, Christian Sohler",68,,https://arxiv.org/abs/1812.10854,UNKNOWN,https://dblp.org/rec/journals/corr/abs-1812-10854,CoRR,"M Schmidt, C Schwiegelshohn, C Sohler - arXiv preprint arXiv:1812.10854, 2018 - arxiv.org"
Fairness in clustering with multiple sensitive attributes,Savitha Sam Abraham and Deepak P and Sowmya S. Sundaram,68,related-pdfs/Fairness_in_clustering_with_multiple_sensitive_attributes.pdf,http://arxiv.org/abs/1910.05113v2,DBLP,https://dblp.org/rec/conf/edbt/Abraham0S20,EDBT,"SS Abraham, SS Sundaram - arXiv preprint arXiv:1910.05113, 2019 - arxiv.org"
Proportionally fair clustering revisited,Evi Micha and Nisarg Shah,69,related-pdfs/Proportionally_fair_clustering_revisited.pdf,https://doi.org/10.1017/9781108772662.011,DBLP,https://dblp.org/rec/conf/icalp/Micha020,ICALP,"E Micha, N Shah - 47th International Colloquium on Automata …, 2020 - drops.dagstuhl.de"
Better Algorithms for Individually Fair -Clustering,"Maryam Negahbani, Deeparnab Chakrabarty",66,,https://proceedings.neurips.cc/paper/2021/hash/6f221fcb5c504fe96789df252123770b-Abstract.html,UNKNOWN,https://dblp.org/rec/conf/nips/NegahbaniC21,NeurIPS,"M Negahbani, D Chakrabarty - Advances in Neural …, 2021 - proceedings.neurips.cc"
Improved approximation algorithms for individually fair clustering,Ali Vakilian and Mustafa Yal\cciner ,68,related-pdfs/Improved_approximation_algorithms_for_individually_fair_clustering.pdf,http://arxiv.org/abs/2106.14043v2,DBLP,https://dblp.org/rec/conf/aistats/VakilianY22,AISTATS,"A Vakilian, M Yalciner - International conference on artificial …, 2022 - proceedings.mlr.press"
A center in your neighborhood: Fairness in facility location,"Christopher Jung, Sampath Kannan, Neil Lutz",57,,https://arxiv.org/abs/1908.09041,UNKNOWN,https://dblp.org/rec/journals/corr/abs-1908-09041,CoRR,"C Jung, S Kannan, N Lutz - arXiv preprint arXiv:1908.09041, 2019 - arxiv.org"
Probabilistic fair clustering,Seyed A. Esmaeili and Brian Brubach and Leonidas Tsepenekas and John Dickerson,54,related-pdfs/Probabilistic_fair_clustering.pdf,http://arxiv.org/abs/2006.10916v3,DBLP,https://dblp.org/rec/conf/nips/EsmaeiliBT020,NeurIPS,"S Esmaeili, B Brubach… - Advances in Neural …, 2020 - proceedings.neurips.cc"
Variational fair clustering,Imtiaz Masud Ziko and Jing Yuan and Eric Granger and Ismail Ben Ayed,55,related-pdfs/Variational_fair_clustering.pdf,http://arxiv.org/abs/1906.08207v5,DBLP,https://dblp.org/rec/conf/aaai/ZikoYGA21,AAAI,"IM Ziko, J Yuan, E Granger, IB Ayed - Proceedings of the AAAI …, 2021 - ojs.aaai.org"
A pairwise fair and community-preserving approach to k-center clustering,Brian Brubach and Darshan Chakrabarti and John P. Dickerson and Samir Khuller and Aravind Srinivasan and Leonidas Tsepenekas,53,related-pdfs/A_pairwise_fair_and_community-preserving_approach_to_k-center_clustering.pdf,https://doi.org/10.1109/cbase60015.2023.10439130,DBLP,https://dblp.org/rec/conf/icml/BrubachCDKST20,ICML,"B Brubach, D Chakrabarti, J Dickerson… - International …, 2020 - proceedings.mlr.press"
Hierarchical clustering-based personalized federated learning for robust and fair human activity recognition,"Youpeng Li, Xuyu Wang, Lingling An",57,,https://dl.acm.org/doi/abs/10.1145/3580795,UNKNOWN,https://dblp.org/rec/journals/imwut/LiWA23,Proc. ACM Interact. Mob. Wearable Ubiquitous Technol.,"Y Li, X Wang, L An - Proceedings of the ACM on Interactive, Mobile …, 2023 - dl.acm.org"
Fair clustering under a bounded cost,Seyed A. Esmaeili and Brian Brubach and Aravind Srinivasan and John Dickerson,48,related-pdfs/Fair_clustering_under_a_bounded_cost.pdf,http://arxiv.org/abs/2106.07239v2,DBLP,https://dblp.org/rec/conf/nips/EsmaeiliBSD21,NeurIPS,"S Esmaeili, B Brubach, A Srinivasan… - Advances in Neural …, 2021 - proceedings.neurips.cc"
Service in your neighborhood: Fairness in center location,Christopher Jung and Sampath Kannan and Neil Lutz,47,related-pdfs/Service_in_your_neighborhood_Fairness_in_center_location.pdf,https://doi.org/10.1177/0145482x7506900712,DBLP,https://dblp.org/rec/conf/forc/JungKL20,FORC,"C Jung, S Kannan, N Lutz - Foundations of Responsible Computing …, 2020 - par.nsf.gov"
Approximating fair clustering with cascaded norm objectives,Eden Chlamtác and Yury Makarychev and Ali Vakilian,40,related-pdfs/Approximating_fair_clustering_with_cascaded_norm_objectives.pdf,http://arxiv.org/abs/2111.04804v1,DBLP,https://dblp.org/rec/conf/soda/ChlamtacMV22,SODA,"E Chlamtáč, Y Makarychev, A Vakilian - Proceedings of the 2022 annual ACM …, 2022 - SIAM"
KFC: A Scalable Approximation Algorithm for −center Fair Clustering,"Elfarouk Harb, Ho Shan Lam",37,,https://proceedings.neurips.cc/paper/2020/hash/a6d259bfbfa2062843ef543e21d7ec8e-Abstract.html,UNKNOWN,https://dblp.org/rec/conf/nips/HarbL20,NeurIPS,"E Harb, HS Lam - Advances in neural information …, 2020 - proceedings.neurips.cc"
